commit_date,commit_id,filedir,filename,category,line_count
2025-09-30 04:35:59 +0200,e8dd064,tests,__init__.py,executable,0
2025-09-30 04:35:59 +0200,e8dd064,tests,__init__.py,documentation,1
2025-09-30 04:35:59 +0200,e8dd064,tests,test_cli.py,executable,118
2025-09-30 04:35:59 +0200,e8dd064,tests,test_cli.py,documentation,30
2025-09-30 04:35:59 +0200,e8dd064,tests,test_end_to_end.py,executable,199
2025-09-30 04:35:59 +0200,e8dd064,tests,test_end_to_end.py,documentation,50
2025-09-30 04:35:59 +0200,e8dd064,tests,test_exceptions.py,executable,166
2025-09-30 04:35:59 +0200,e8dd064,tests,test_exceptions.py,documentation,32
2025-09-30 04:35:59 +0200,e8dd064,tests,test_exceptions_url.py,executable,83
2025-09-30 04:35:59 +0200,e8dd064,tests,test_exceptions_url.py,documentation,27
2025-09-30 04:35:59 +0200,e8dd064,tests,test_file_parser.py,executable,283
2025-09-30 04:35:59 +0200,e8dd064,tests,test_file_parser.py,documentation,36
2025-09-30 04:35:59 +0200,e8dd064,tests,test_models.py,executable,56
2025-09-30 04:35:59 +0200,e8dd064,tests,test_models.py,documentation,11
2025-09-30 04:35:59 +0200,e8dd064,tests,test_time_utils.py,executable,103
2025-09-30 04:35:59 +0200,e8dd064,tests,test_time_utils.py,documentation,25
2025-09-30 04:35:59 +0200,e8dd064,tests,test_url_parser.py,executable,223
2025-09-30 04:35:59 +0200,e8dd064,tests,test_url_parser.py,documentation,57
2025-09-30 04:35:59 +0200,e8dd064,tests,test_xml_builder.py,executable,214
2025-09-30 04:35:59 +0200,e8dd064,tests,test_xml_builder.py,documentation,34
2025-09-30 04:10:59 +0200,77634c1,src,__init__.py,executable,0
2025-09-30 04:10:59 +0200,77634c1,src,__init__.py,documentation,1
2025-09-30 04:10:59 +0200,77634c1,src,cli.py,executable,119
2025-09-30 04:10:59 +0200,77634c1,src,cli.py,documentation,55
2025-09-30 04:10:59 +0200,77634c1,src,exceptions.py,executable,135
2025-09-30 04:10:59 +0200,77634c1,src,exceptions.py,documentation,49
2025-09-30 04:10:59 +0200,77634c1,src,file_parser.py,executable,139
2025-09-30 04:10:59 +0200,77634c1,src,file_parser.py,documentation,74
2025-09-30 04:10:59 +0200,77634c1,src,logging_config.py,executable,21
2025-09-30 04:10:59 +0200,77634c1,src,logging_config.py,documentation,23
2025-09-30 04:10:59 +0200,77634c1,src,models.py,executable,21
2025-09-30 04:10:59 +0200,77634c1,src,models.py,documentation,13
2025-09-30 04:10:59 +0200,77634c1,src,time_utils.py,executable,62
2025-09-30 04:10:59 +0200,77634c1,src,time_utils.py,documentation,42
2025-09-30 04:10:59 +0200,77634c1,src,url_parser.py,executable,161
2025-09-30 04:10:59 +0200,77634c1,src,url_parser.py,documentation,147
2025-09-30 04:10:59 +0200,77634c1,src,xml_builder.py,executable,52
2025-09-30 04:10:59 +0200,77634c1,src,xml_builder.py,documentation,14
2025-09-30 04:10:59 +0200,77634c1,tests,__init__.py,executable,0
2025-09-30 04:10:59 +0200,77634c1,tests,__init__.py,documentation,1
2025-09-30 04:10:59 +0200,77634c1,tests,test_cli.py,executable,118
2025-09-30 04:10:59 +0200,77634c1,tests,test_cli.py,documentation,30
2025-09-30 04:10:59 +0200,77634c1,tests,test_end_to_end.py,executable,199
2025-09-30 04:10:59 +0200,77634c1,tests,test_end_to_end.py,documentation,50
2025-09-30 04:10:59 +0200,77634c1,tests,test_exceptions.py,executable,166
2025-09-30 04:10:59 +0200,77634c1,tests,test_exceptions.py,documentation,32
2025-09-30 04:10:59 +0200,77634c1,tests,test_exceptions_url.py,executable,83
2025-09-30 04:10:59 +0200,77634c1,tests,test_exceptions_url.py,documentation,27
2025-09-30 04:10:59 +0200,77634c1,tests,test_file_parser.py,executable,283
2025-09-30 04:10:59 +0200,77634c1,tests,test_file_parser.py,documentation,36
2025-09-30 04:10:59 +0200,77634c1,tests,test_models.py,executable,56
2025-09-30 04:10:59 +0200,77634c1,tests,test_models.py,documentation,11
2025-09-30 04:10:59 +0200,77634c1,tests,test_time_utils.py,executable,103
2025-09-30 04:10:59 +0200,77634c1,tests,test_time_utils.py,documentation,25
2025-09-30 04:10:59 +0200,77634c1,tests,test_url_parser.py,executable,223
2025-09-30 04:10:59 +0200,77634c1,tests,test_url_parser.py,documentation,57
2025-09-30 04:10:59 +0200,77634c1,tests,test_xml_builder.py,executable,214
2025-09-30 04:10:59 +0200,77634c1,tests,test_xml_builder.py,documentation,34
2025-09-30 02:28:32 +0200,b1c7111,src,__init__.py,executable,0
2025-09-30 02:28:32 +0200,b1c7111,src,__init__.py,documentation,1
2025-09-30 02:28:32 +0200,b1c7111,src,cli.py,executable,119
2025-09-30 02:28:32 +0200,b1c7111,src,cli.py,documentation,55
2025-09-30 02:28:32 +0200,b1c7111,src,exceptions.py,executable,135
2025-09-30 02:28:32 +0200,b1c7111,src,exceptions.py,documentation,49
2025-09-30 02:28:32 +0200,b1c7111,src,file_parser.py,executable,139
2025-09-30 02:28:32 +0200,b1c7111,src,file_parser.py,documentation,74
2025-09-30 02:28:32 +0200,b1c7111,src,logging_config.py,executable,21
2025-09-30 02:28:32 +0200,b1c7111,src,logging_config.py,documentation,23
2025-09-30 02:28:32 +0200,b1c7111,src,models.py,executable,21
2025-09-30 02:28:32 +0200,b1c7111,src,models.py,documentation,13
2025-09-30 02:28:32 +0200,b1c7111,src,time_utils.py,executable,62
2025-09-30 02:28:32 +0200,b1c7111,src,time_utils.py,documentation,42
2025-09-30 02:28:32 +0200,b1c7111,src,url_parser.py,executable,160
2025-09-30 02:28:32 +0200,b1c7111,src,url_parser.py,documentation,147
2025-09-30 02:28:32 +0200,b1c7111,src,xml_builder.py,executable,52
2025-09-30 02:28:32 +0200,b1c7111,src,xml_builder.py,documentation,14
2025-09-30 02:28:32 +0200,b1c7111,tests,__init__.py,executable,0
2025-09-30 02:28:32 +0200,b1c7111,tests,__init__.py,documentation,1
2025-09-30 02:28:32 +0200,b1c7111,tests,test_cli.py,executable,118
